multiplier avg_speed
0.0001 2.700304396497322
0.01 2.857372913366757
0.02 1.6354309570531238
0.05 2.948816318620121
0.1 2.7645253410257085
0.25 2.7188321093925225
0.5 2.2816453772667766
0.75 2.1833090603553926
1 2.1592411629936357
2 1.6713530920658564
3 1.4892983360846574
4 1.2664771389326246
5 0.9511043683257686
