it avg_speed
0 2.5526903599634148
1 2.4756082189481528
2 2.487971291853446
3 2.425862203864109
4 2.475189680144007
5 2.573874618536303
6 2.626852617550535
7 2.364829324386874
8 2.401923136147562
9 2.763303620844951
